<DTYYYYMMDD>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20181123;190000;1.13321;1.13362;1.13308;1.13334;549
20181123;191500;1.13334;1.13352;1.13311;1.13335;462
20181123;193000;1.13335;1.13391;1.13321;1.13381;463
20181123;194500;1.13381;1.13385;1.13335;1.13344;355
20181123;200000;1.13343;1.13344;1.13311;1.13322;279
20181123;201500;1.13321;1.13322;1.13305;1.13307;173
20181123;203000;1.13307;1.13314;1.13304;1.13308;180
20181123;204500;1.13307;1.13314;1.13296;1.13297;186
20181123;210000;1.13298;1.13303;1.13288;1.13303;158
20181123;211500;1.13303;1.13307;1.13270;1.13277;266
20181123;213000;1.13277;1.13296;1.13271;1.13291;201
20181123;214500;1.13291;1.13299;1.13283;1.13286;147
20181123;220000;1.13286;1.13306;1.13279;1.13298;229
20181123;221500;1.13298;1.13309;1.13295;1.13309;116
20181123;223000;1.13307;1.13318;1.13300;1.13306;153
20181123;224500;1.13305;1.13349;1.13286;1.13298;1103
20181123;230000;1.13300;1.13337;1.13279;1.13313;867
20181123;231500;1.13313;1.13340;1.13273;1.13289;456
20181123;233000;1.13289;1.13355;1.13277;1.13330;276
20181123;234500;1.13330;1.13370;1.13295;1.13296;294
20181126;000000;1.13391;1.13402;1.13382;1.13388;81
20181126;001500;1.13388;1.13388;1.13322;1.13334;442
20181126;003000;1.13335;1.13368;1.13333;1.13348;344
20181126;004500;1.13348;1.13364;1.13331;1.13352;253
20181126;010000;1.13356;1.13369;1.13342;1.13350;572
20181126;011500;1.13351;1.13365;1.13322;1.13345;534
20181126;013000;1.13345;1.13349;1.13302;1.13335;305
20181126;014500;1.13335;1.13372;1.13332;1.13371;471
20181126;020000;1.13372;1.13396;1.13322;1.13382;580
20181126;021500;1.13382;1.13396;1.13363;1.13375;417
20181126;023000;1.13375;1.13398;1.13364;1.13394;211
20181126;024500;1.13394;1.13398;1.13338;1.13339;392
20181126;030000;1.13339;1.13370;1.13328;1.13354;434
